mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
3.348.038.785.917.090,6,3.100.108.095.146.230,250.0,22.836.894.598.917.500,1.709.586.149.452.120,82,1,car_217
17.865.281.026.992.900,8,500.0,250.0,3.569.933.834.878.210,1.836.539.771.871.020,80,2,car_218
3.292.972.137.457.150,5,3.062.561.139.488.600,24.795.664.365.831.800,2.300.436.182.144.720,16.961.768.702.477.100,72,2,car_219
314.349.917.666.694,6,33.567.149.612.293.900,250.0,28.523.039.641.987.800,19.019.781.898.870.600,72,1,car_220
2.723.124.082.754.480,4,3.188.775.785.654.460,250.0,2.548.577.252.728.000,19.365.306.383.305.700,78,1,car_221
3.579.075.424.176.400,4,27.868.263.005.917.500,23.332.022.542.557.800,21.224.614.461.221.600,25.490.678.139.583.300,70,2,car_222
25.745.899.994.696.500,6,3.136.390.018.812.020,24.411.280.146.144.000,25.202.076.797.478.200,16.971.005.593.939.800,82,1,car_223
3.809.891.517.439.440,4,25.682.970.406.004.900,14.890.348.098.638.300,2.059.117.567.083.740,18.017.076.972.025.700,82,3,car_224
3.620.212.004.658.710,4,18.702.519.981.084.200,18.777.649.174.145.700,16.205.813.082.596.000,16.937.723.890.564.000,80,2,car_225
2.050.682.744.559.520,6,4.398.819.321.800.860,250.0,31.967.134.725.555.600,1.420.481.543.407.680,82,2,car_226
24.871.863.157.663.000,6,3.674.379.612.261.710,250.0,2.919.033.098.442.460,1.621.158.542.078.020,72,1,car_227
27.917.662.557.713.400,6,3.263.670.121.793.330,250.0,26.357.915.517.429.700,19.859.510.533.920.700,81,3,car_228
21.721.687.092.203.500,4,38.159.592.662.737.200,250.0,27.796.933.802.481.200,19.932.691.213.799.700,73,3,car_229
320.887.623.788.212,4,2.733.247.023.758.600,22.919.571.546.449.100,1.910.781.134.759.950,19.476.258.399.302.000,71,1,car_230
1.679.587.961.111.810,6,47.702.703.029.717.300,250.0,37.432.745.585.809.100,15.869.430.799.829.300,73,2,car_231
11.623.660.025.426.900,8,500.0,250.0,4.001.704.856.654.020,15.018.170.185.553.500,80,3,car_232
3.083.417.046.204.170,4,24.342.266.193.016.000,20.648.510.870.936.200,19.497.905.004.523.900,15.799.717.968.161.500,82,1,car_233
24.520.241.180.674.200,6,36.293.767.432.179.700,250.0,2.792.231.698.305.730,1.603.710.549.880.520,77,2,car_234
2.443.799.303.556.020,6,36.449.059.231.330.700,250.0,27.964.578.199.130.300,13.818.158.002.690.100,73,3,car_235
1.487.462.964.169.730,6,4.872.251.306.816.680,250.0,38.187.657.811.574.900,2.075.480.915.446.940,77,2,car_236
22.178.289.123.904.700,6,3.898.471.331.970.750,250.0,31.784.814.178.463.500,22.832.973.041.119.700,76,3,car_237
32.847.769.993.749.400,4,25.065.141.721.172.100,19.716.676.711.448.400,2.254.135.539.052.430,12.438.276.200.447.700,76,1,car_238
27.737.117.940.170.900,6,34.329.053.870.557.200,250.0,2.302.244.932.355.750,19.065.545.981.196.000,74,3,car_239
2.665.462.460.566.760,5,29.765.374.974.933.200,250.0,25.058.304.222.550.200,18.812.245.443.813.000,71,3,car_240
3.084.654.011.680.990,4,31.008.777.933.806.800,2.356.070.863.917.030,2.458.471.902.465.850,1.866.795.446.630.450,74,1,car_241
19.383.596.236.581.800,4,38.433.746.292.016.100,250.0,31.798.441.595.810.500,1.554.192.287.677.990,81,1,car_242
2.839.236.212.074.680,4,2.700.976.184.756.900,22.670.038.600.094.300,2.397.889.615.257.720,2.116.965.226.100.930,75,2,car_243
25.500.349.159.716.100,6,3.199.883.854.270.240,23.033.864.857.048.600,24.088.818.682.528.800,19.322.550.036.482.800,70,3,car_244
1.071.968.946.895.240,8,500.0,250.0,418.886.093.557.945,1.941.350.432.631.200,74,1,car_245
30.000.211.146.908.600,4,32.538.813.429.560.700,250.0,23.522.965.014.992.700,15.935.167.560.262.300,75,1,car_246
25.708.151.701.758.300,4,2.859.555.452.346.510,21.138.243.892.725.400,2.313.164.208.430.660,14.037.287.377.595.500,77,3,car_247
10.409.407.584.689.100,8,500.0,250.0,39.514.966.461.328.000,17.853.219.942.613.200,78,1,car_248
3.331.838.623.412.850,4,2.326.196.064.539.500,15.283.889.916.023.900,18.702.127.452.330.800,15.740.956.077.312.100,75,2,car_249
40.022.039.849.156.800,3,2.327.079.848.902.750,1.850.090.173.968.150,16.638.570.221.523.000,21.999.941.795.349.300,71,2,car_250
23.202.427.249.016.700,6,30.594.227.169.935.900,22.758.486.397.724.300,253.491.486.480.492,11.585.221.192.064.500,75,3,car_251
9.390.713.976.188.720,8,500.0,250.0,4.317.257.453.102.950,14.777.122.862.190.400,70,1,car_252
23.812.551.502.877.000,6,4.070.727.203.264.950,250.0,3.062.210.388.448.680,15.590.024.068.592.100,76,3,car_253
2.533.173.941.915.610,4,34.273.154.575.394.700,250.0,2.779.781.470.364.220,16.723.088.604.139.200,75,2,car_254
22.447.735.357.531.600,6,3.427.577.717.714.110,250.0,2.913.236.798.387.090,18.370.060.417.502.500,74,3,car_255
25.364.523.498.929.300,6,35.868.911.155.425.800,250.0,28.101.647.468.009.800,18.878.542.461.203.200,78,1,car_256
18.460.419.439.995.200,8,4.248.903.496.016.990,250.0,367.120.138.112.493,18.748.011.425.819.100,79,2,car_257
3.942.981.714.897.100,4,21.398.857.776.104.800,14.138.147.621.990.000,16.259.709.538.046.400,21.138.988.139.064.200,73,3,car_258
12.984.002.623.694.300,8,42.864.054.625.460.300,250.0,3.405.865.429.397.070,16.579.557.768.587.600,76,3,car_259
2.154.381.526.036.800,6,44.939.781.391.061.500,250.0,33.965.516.719.996.000,23.429.561.413.119.700,76,1,car_260
25.061.352.296.630.000,4,36.928.286.688.294.300,20.944.997.587.485.600,29.795.810.064.775.000,21.681.689.995.393.400,76,2,car_261
370.692.010.461.425,4,2.039.604.034.494.230,22.284.099.581.276.400,1.632.287.816.695.180,17.931.747.536.320.700,75,1,car_262
22.512.079.681.459.500,4,3.015.681.111.195.100,24.532.464.395.666.300,2.539.725.137.925.050,17.549.653.785.649.000,72,1,car_263
13.246.640.572.926.900,8,500.0,250.0,3.872.758.791.915.540,15.628.097.829.983.700,72,2,car_264
3.666.321.832.137.020,4,22.990.612.745.732.600,14.598.632.186.676.600,17.028.498.947.484.900,19.887.045.946.833.200,70,3,car_265
1.640.471.094.850.260,6,404.870.083.228.578,250.0,333.145.908.940.862,14.252.727.420.162.800,70,2,car_266
2.336.959.317.252.980,3,3.256.862.783.821.310,250.0,28.849.283.250.719.600,15.246.459.292.156.100,80,1,car_267
14.931.836.395.660.000,6,44.037.782.369.167.300,250.0,36.488.246.390.595.800,10.349.076.624.697.200,70,1,car_268
14.984.655.319.431.800,5,408.565.914.709.168,250.0,3.638.009.767.395.570,15.666.009.846.284.800,81,1,car_269
2.045.405.461.579.850,8,41.030.495.447.809.700,250.0,339.350.113.006.917,20.300.776.421.852.800,81,1,car_270
20.076.185.336.272.200,6,4.028.019.912.789.670,250.0,33.262.745.014.026.100,1.671.742.243.814.890,73,3,car_271
23.432.878.314.191.900,6,33.287.186.083.346.300,250.0,27.988.334.628.016.900,1.741.268.071.275.930,75,1,car_272
20.995.488.148.442.100,6,3.394.027.160.984.380,250.0,3.012.855.879.943.330,18.321.621.551.623.100,74,1,car_273
17.918.907.159.460.400,6,38.911.007.852.695.000,250.0,33.603.946.414.390.300,1.413.289.306.017.550,75,2,car_274
14.231.145.890.965.000,8,500.0,250.0,3.783.024.353.378.240,16.792.834.284.554.400,74,1,car_275
2.061.561.595.607.750,5,39.904.182.162.052.400,250.0,33.524.509.504.862.000,1.981.853.753.601.020,74,1,car_276
9.462.886.664.336.730,8,500.0,250.0,40.530.713.011.597.000,17.366.618.198.676.200,78,2,car_277
3.696.512.892.134.320,4,2.599.370.594.571.390,21.446.914.658.758.300,20.406.894.724.793.200,213.938.047.213.058,75,1,car_278
3.493.963.177.512.770,6,30.021.253.976.856.000,20.903.844.440.404.300,2.047.114.487.057.000,22.245.281.231.748.900,72,2,car_279
10.182.595.255.410.800,8,4.841.613.323.490.600,250.0,35.652.584.767.404.200,18.922.510.808.172.900,74,2,car_280
13.462.307.526.297.500,8,500.0,250.0,392.710.655.597.738,14.432.792.371.482.400,82,2,car_281
3.026.084.164.966.730,5,3.473.772.871.955.200,250.0,24.860.999.958.772.100,16.981.493.913.262.000,82,1,car_282
3.195.644.069.858.040,5,28.807.011.296.776.800,23.057.428.906.359.700,2.235.809.539.991.360,24.058.657.018.908.500,70,1,car_283
11.919.447.458.039.600,6,4.780.127.204.642.620,250.0,39.669.700.142.664.900,17.475.535.525.719,77,2,car_284
3.342.567.051.191.940,4,2.666.529.671.582.260,20.904.251.044.074.400,20.170.324.725.745.700,19.025.837.296.742.600,82,1,car_285
12.998.874.664.925.000,8,500.0,250.0,40.166.925.205.502.400,13.903.429.458.327.800,72,1,car_286
398.635.710.576.584,4,2.329.881.155.648.940,1.940.418.083.422.140,16.499.145.328.633.400,1.857.570.200.029.060,70,1,car_287
27.712.506.476.368.400,4,2.833.927.169.754.770,19.002.681.584.474.800,23.268.951.927.979.800,20.322.225.565.660.300,72,1,car_288
18.228.677.887.674.800,6,3.990.313.180.786.830,250.0,32.938.776.229.233.800,1.725.065.950.856.600,74,1,car_289
3.542.081.874.920.600,4,3.065.774.356.783.530,23.384.334.102.408.900,21.680.326.340.239.900,1.677.383.266.142.400,82,3,car_290
29.945.549.837.789.600,4,30.425.738.517.010.700,250.0,2.283.681.822.041.260,17.354.159.689.116.400,73,2,car_291
3.659.383.900.934.510,4,285.348.346.747.408,2.370.796.375.957.360,20.293.527.204.977.900,220.461.232.335.505,74,2,car_292
22.132.084.095.925.700,8,4.626.683.613.112.390,250.0,3.803.189.849.853.480,1.870.015.258.813.920,73,1,car_293
12.644.363.008.293.600,6,4.807.192.106.698.730,250.0,38.785.549.974.686.200,18.223.565.683.118.000,75,1,car_294
9.626.220.735.069.480,8,500.0,250.0,3.990.057.641.152.880,17.832.588.775.693.100,82,3,car_295
35.856.512.744.734.000,4,23.852.950.517.722.400,16.312.877.134.736.100,18.825.797.337.895.300,15.068.330.388.504.700,71,2,car_296
4.052.732.530.512.800,4,19.972.714.838.665.300,19.187.712.490.654.300,16.623.842.741.797.400,19.654.662.986.068.000,75,3,car_297
3.190.057.843.704.040,4,297.646.200.796.851,22.730.873.982.097.900,2.449.739.904.777.080,21.254.282.526.913.200,77,1,car_298
3.785.326.218.066.680,4,29.700.396.822.080.800,17.658.396.873.958.900,22.769.162.470.037.600,17.440.319.129.335.500,71,1,car_299
3.379.108.725.765.600,4,2.680.980.617.164.200,20.667.492.048.268.300,20.176.651.329.572.800,21.414.619.054.125.100,70,2,car_300
4.152.931.062.121.660,3,1.867.101.214.342.780,15.702.768.892.215.100,1500.0,20.635.680.155.563.600,82,1,car_301
3.733.338.882.694.330,4,21.585.445.845.050.900,1.399.433.388.542.990,16.888.886.880.041.200,2.129.412.983.966.590,73,1,car_302
10.277.286.373.338.300,6,4.004.235.850.389.860,250.0,3.615.525.125.321.750,17.037.284.334.349.400,73,1,car_303
3.678.762.335.233.890,4,23.218.090.050.251.000,1.828.854.069.360.440,1.780.668.269.545.860,21.379.088.414.106.600,74,1,car_304
9.634.857.276.353.970,6,49.576.783.081.335.000,250.0,4.024.075.708.929.670,12.081.879.450.808.400,70,3,car_305
26.954.537.204.708.400,4,33.077.503.533.593,250.0,27.393.855.803.440.600,17.860.051.580.176.000,71,3,car_306
2.286.244.887.735.890,6,3.025.662.372.450.610,18.959.067.534.866.000,27.006.347.560.833.200,19.938.409.827.149.200,70,2,car_307
30.098.980.986.420.600,6,2.789.381.996.284.720,250.0,2.069.268.678.678.550,19.319.629.900.059.300,76,1,car_308
18.724.438.124.409.500,6,3.988.183.028.301.030,250.0,3.458.475.988.469.160,2.032.839.497.954.290,76,3,car_309
2.368.856.806.167.390,6,3.779.641.063.187.570,250.0,2.994.233.735.685.880,17.034.469.788.725.600,73,2,car_310
20.360.785.168.343.600,4,33.822.407.817.091.700,250.0,32.060.616.712.966.100,15.651.572.509.688.200,81,3,car_311
38.240.247.297.498,4,2.689.821.102.884.200,14.614.474.536.012.800,2.224.377.326.152.590,1.335.839.767.636.030,73,2,car_312
4.296.646.498.357.950,6,23.983.601.490.988.400,14.960.570.572.847.200,16.729.022.934.089.000,180.081.982.054.724,70,3,car_313
2.001.608.006.852.600,8,39.259.273.180.118.600,250.0,31.013.101.198.809.100,18.949.314.720.578.900,71,1,car_314
26.047.011.941.178.800,6,3.485.496.689.203.810,250.0,3.055.651.222.828.700,19.727.374.318.418.600,79,2,car_315
29.535.805.620.251.300,5,3.510.365.486.134.740,22.545.639.346.079.000,2.824.600.619.790.030,13.477.842.635.241.800,76,3,car_316
2.847.396.433.565.380,6,31.310.014.862.388.200,21.625.062.181.746.200,24.928.761.074.716.400,21.533.099.271.508.200,73,3,car_317
11.886.400.336.315.700,8,4.936.139.142.884.900,250.0,409.271.074.708.146,134.840.267.895.294,73,3,car_318
3.676.716.716.131.650,4,22.546.727.499.867.700,19.928.807.791.025.900,17.347.386.618.559.100,184.018.169.142.601,72,1,car_319
31.726.766.142.023.700,4,25.683.592.968.221.900,22.317.757.881.903.600,20.125.408.023.011.700,1.678.101.005.272.620,75,2,car_320
18.272.132.905.924.900,6,43.541.308.643.705.600,250.0,32.943.697.895.101.300,1.845.737.986.198.700,79,1,car_321
16.182.962.838.200.900,6,45.322.127.538.572.200,250.0,3.971.534.359.279.050,16.810.689.793.346.400,78,2,car_322
3.262.269.223.919.260,4,29.369.963.346.472.800,250.0,21.050.748.118.683.200,204.288.308.542.412,79,1,car_323
37.521.707.335.493.600,4,18.552.054.564.881.700,20.574.139.418.064.300,15.180.576.971.432.300,24.513.356.146.429.900,70,1,car_324
12.295.234.596.888.200,6,4.631.250.765.757.400,250.0,38.009.775.222.223.000,17.892.579.896.797.900,77,3,car_325
2.463.939.916.046.930,6,3.360.216.429.251.410,22.302.985.496.075.100,2.685.442.919.417.430,16.084.518.164.679.800,79,3,car_326
2.305.461.929.628.370,6,3.970.433.529.951.080,250.0,29.255.742.648.629,18.957.632.817.803.700,72,2,car_327
30.648.472.968.714.500,4,3.281.497.475.621.970,250.0,2.425.445.174.955.350,23.909.972.565.256.700,77,1,car_328
2.706.837.665.673.860,4,29.111.690.741.462.200,22.356.779.966.063.200,24.334.386.429.883.000,20.035.582.148.498.500,70,1,car_329
2.685.764.789.619.060,6,3.687.045.892.667.890,250.0,27.936.608.524.150.800,20.543.419.974.764.800,81,1,car_330
31.732.465.858.692.800,4,31.854.950.571.359.100,250.0,21.339.926.012.110.400,135.852.780.490.943,79,1,car_331
2.020.805.291.330.190,5,3.996.886.912.181.220,250.0,32.749.051.943.028.000,18.385.730.602.569.300,78,3,car_332
3.096.331.967.327.520,6,3.443.398.936.207.330,19.729.899.891.141.200,2.580.220.072.974.710,17.115.726.677.248.300,77,2,car_333
29.936.893.269.802.900,4,3.061.517.435.818.780,21.723.084.971.185.800,2.575.457.803.369.080,15.884.167.610.413.600,78,1,car_334
15.407.170.899.809.000,6,42.680.971.206.513.200,250.0,33.741.534.368.762.000,17.058.894.581.347.000,75,2,car_335
3.288.863.110.597.680,4,24.823.940.975.487.700,1.687.268.885.379.820,19.359.528.123.362.500,18.889.949.131.555.100,82,1,car_336
28.443.251.841.705.100,6,2.968.220.674.935.990,24.509.050.486.947.600,23.850.241.765.522.000,16.241.800.117.471.800,72,1,car_337
23.959.733.708.882.700,6,39.708.981.261.019.900,250.0,2.949.019.834.869.510,18.116.371.445.756.600,80,1,car_338
28.140.279.280.365.000,6,3.751.053.449.487.950,2.331.212.812.328.270,28.357.521.420.708.300,171.437.865.645.325,79,1,car_339
15.771.858.781.593.200,8,4.683.832.266.321.510,250.0,36.950.810.033.062.700,18.912.235.620.242.000,80,2,car_340
343.248.205.547.257,4,3.122.888.255.203.440,250.0,22.694.420.192.086.400,1.891.328.250.325.300,70,2,car_341
11.718.137.081.310.800,6,47.184.423.518.813.800,250.0,3.917.517.413.397.430,17.710.252.663.150.400,75,2,car_342
3.378.705.563.734.930,4,23.740.350.082.774.900,21.971.585.405.694.000,18.377.522.105.243.800,21.600.411.695.535.600,78,3,car_343
2.077.809.970.341.890,8,42.445.709.048.206.800,250.0,3.105.769.403.526.360,19.059.098.175.991.200,78,3,car_344
32.349.715.006.687.600,4,24.340.949.336.181.600,24.508.382.226.208.500,18.354.701.511.367.200,18.646.276.671.035.800,78,3,car_345
1.904.108.765.295.680,6,4.531.877.302.758.670,250.0,36.457.423.551.913.200,10.593.482.794.759.400,78,3,car_346
2.465.138.397.604.390,4,2.754.527.456.473.740,250.0,21.144.038.744.766.100,19.926.780.106.908.400,72,3,car_347
309.533.723.118.325,4,2.703.922.356.659.080,18.055.649.112.147.900,2.243.101.062.606.400,15.521.129.030.622.400,80,3,car_348
3.485.370.845.325.220,4,24.385.921.310.273.400,250.0,20.656.809.747.244.000,1.817.560.555.117.470,76,1,car_349
29.229.888.608.937.300,4,25.279.514.870.888.900,16.607.675.799.240.900,25.027.012.448.617.300,19.110.439.710.917.600,82,1,car_350
2.715.667.096.775.280,4,3.233.032.100.663.370,250.0,28.165.545.208.028.400,21.682.532.550.570.700,76,2,car_351
4.639.323.739.957.110,3,22.429.889.495.750.500,14.136.576.543.064.000,1500.0,24.526.968.404.350.600,76,3,car_352
18.719.295.893.106.400,6,4.352.766.336.810.030,250.0,341.016.657.244.829,14.326.178.566.937.400,77,3,car_353
3.939.546.065.986.630,4,2.359.137.564.033.400,17.423.523.617.497.200,18.339.817.927.371.200,14.718.429.578.175.400,81,2,car_354
3.520.763.397.647.320,4,27.787.584.984.882.000,250.0,23.380.209.832.754.900,19.139.130.524.284.900,81,3,car_355
16.698.432.096.127.100,8,4.849.245.851.662.800,250.0,36.926.794.671.899.000,1.753.460.379.492.370,77,2,car_356
23.301.533.848.491.100,6,3.782.601.563.929.340,250.0,2.919.830.818.303.800,13.974.541.547.923.800,77,2,car_357
4.631.616.329.356.260,4,15.738.558.555.632.800,40.0,1500.0,1.895.019.099.420.970,70,1,car_358
3.771.705.976.039.400,4,24.010.016.962.524.600,250.0,1.800.348.212.303.660,20.492.274.624.936.600,70,2,car_359
36.095.623.457.309.900,5,2.397.080.801.131.930,194.687.433.115.155,18.046.715.314.551.200,15.004.873.302.008.000,79,1,car_360
2.520.556.578.957.550,6,36.464.493.060.822.100,17.397.474.136.925.400,28.545.582.822.944.900,14.661.685.541.312.700,74,1,car_361
20.500.251.686.190.100,8,48.532.827.604.237.700,250.0,36.453.236.609.550.700,14.922.196.532.958.100,75,2,car_362
2.476.718.529.949.930,6,3.149.028.384.674.200,250.0,27.156.278.556.195.300,1.714.759.139.737.020,78,1,car_363
15.786.577.508.394.400,8,4.871.664.586.518.040,250.0,3.991.774.441.781.110,18.590.140.075.545.200,72,3,car_364
27.998.377.741.969.400,6,35.295.562.483.083.200,250.0,25.338.790.441.037.600,1.698.667.893.517.040,74,2,car_365
17.275.467.015.811.300,8,500.0,250.0,40.051.945.878.334.800,16.660.755.890.240.000,70,2,car_366
13.587.894.952.846.500,6,500.0,250.0,368.694.902.405.149,23.551.584.466.668.300,79,1,car_367
1.808.556.689.882.840,6,3.717.808.830.504.590,250.0,3.242.698.209.609.000,14.388.370.942.354.700,76,3,car_368
26.856.137.886.628.500,6,30.964.826.714.541.400,250.0,2.800.007.811.794.640,15.741.011.996.301.400,72,2,car_369
22.824.696.604.040.300,6,33.851.162.146.616.800,250.0,2.696.945.512.951.630,19.837.321.109.921.100,77,2,car_370
30.461.884.881.637.900,4,3.081.684.455.616.490,23.738.336.547.877.900,22.948.185.310.222.600,2.116.931.104.237.600,71,2,car_371
4.294.580.214.364.950,4,23.267.680.870.166.400,12.332.049.659.360.400,17.285.606.040.941.900,20.015.842.016.843.700,80,2,car_372
3.563.770.396.185.300,4,20.461.254.674.923.200,15.462.320.384.753.200,15.461.519.575.387.000,24.380.750.748.757.300,73,2,car_373
34.138.565.529.194.300,4,25.623.709.864.136.700,22.604.897.492.889.400,2.028.531.341.946.010,1.942.383.646.266.990,73,2,car_374
12.828.424.178.498.000,8,500.0,250.0,4.274.093.929.481.260,10.297.595.019.989.300,81,3,car_375
12.949.435.938.230.800,6,4.706.823.909.814.660,250.0,39.565.794.899.135.400,16.834.407.572.428.500,79,1,car_376
23.410.670.895.053.200,4,3.116.198.502.695.500,250.0,26.871.597.029.032.200,16.099.889.424.804.200,78,3,car_377
28.926.067.846.966.400,4,2.842.233.204.553.240,24.861.299.850.089.500,23.079.022.177.771.600,22.343.533.028.789.600,77,1,car_378
34.289.697.810.178.300,4,25.376.558.111.906.400,19.199.932.273.315.800,17.994.023.041.641.700,2.159.446.988.848.090,76,1,car_379
3.202.449.316.715.720,6,2.815.832.273.524.670,2.460.619.208.816.540,20.986.544.768.934.100,13.632.273.193.724.700,72,1,car_380
2.431.404.983.137.020,8,3.446.592.967.680.530,250.0,2.769.418.626.774.910,21.781.535.563.987.700,73,1,car_381
38.831.739.424.007.800,4,23.168.427.823.391.200,12.575.224.016.028.900,16.132.542.065.024.800,21.704.849.099.893.700,82,1,car_382
29.338.536.050.423.100,4,29.698.583.169.846.000,250.0,2.436.683.243.698.100,17.089.930.368.999.400,81,3,car_383
1.491.754.201.248.270,8,500.0,250.0,4.161.024.704.282.060,16.103.649.612.620.700,79,2,car_384
1.511.966.515.910.340,6,46.436.495.317.613.900,250.0,38.239.887.038.007.800,2.085.254.241.960.870,81,3,car_385
15.532.268.150.596.900,8,4.922.064.603.709.470,250.0,4.038.689.577.551.240,10.546.774.675.123.800,80,1,car_386
4.256.105.582.036.020,4,21.601.440.544.212.100,21.820.021.413.636.200,1500.0,20.336.194.015.119.000,75,2,car_387
2.740.460.856.409.140,4,29.148.360.069.866.800,17.411.303.436.258.000,259.853.996.492.357,2.118.168.894.045.150,79,1,car_388
26.445.185.550.544.300,6,37.445.914.211.872.100,250.0,26.821.960.709.433.600,1.755.166.483.692.050,79,2,car_389
3.412.817.722.516.860,4,24.692.818.436.100.700,18.668.991.144.236.000,19.448.756.321.188.900,2.049.885.380.730.640,71,1,car_390
12.973.357.202.421.000,6,43.280.182.633.833.200,250.0,3.586.123.319.463.870,172.233.402.902.096,81,2,car_391
3.061.460.751.502.550,6,28.930.331.995.255.300,21.844.446.695.325.400,23.861.460.648.173.900,15.761.736.126.046.800,76,2,car_392
2.692.990.048.596.310,4,32.094.247.653.759.500,250.0,2.311.972.546.891.570,1.576.093.740.086.560,74,1,car_393
238.700.542.986.126,5,40.221.693.920.239.900,250.0,29.980.703.890.384.500,19.637.717.413.098.800,76,1,car_394
848.114.503.144.342,6,49.668.770.644.862.400,250.0,4.030.915.976.070.350,14.561.963.847.315.100,74,1,car_395
12.132.733.805.404.100,8,4.994.132.333.218.860,250.0,4.097.474.869.328.980,11.828.782.315.483.700,74,1,car_396
19.056.599.790.398.400,4,3.981.371.923.518.100,250.0,29.636.567.698.919.200,17.903.539.305.272.500,77,2,car_397
